two_realRank,1-qid,State,host_is_superhost,host_has_profile_pic,host_identity_verified,accommodates,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bathrooms,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_Entire condo,property_type_Entire guest suite,property_type_Entire home,property_type_Entire loft,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in home,property_type_Private room in loft,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Room in boutique hotel,property_type_Room in hotel,property_type_Shared room in rental unit,accommodates_contribution,availability_30_contribution,availability_365_contribution,availability_60_contribution,availability_90_contribution,bathrooms_contribution,beds_contribution,host_has_profile_pic_contribution,host_identity_verified_contribution,host_is_superhost_contribution,number_of_reviews_contribution,number_of_reviews_l30d_contribution,number_of_reviews_ltm_contribution,property_type_Entire condo_contribution,property_type_Entire guest suite_contribution,property_type_Entire home_contribution,property_type_Entire loft_contribution,property_type_Entire rental unit_contribution,property_type_Entire serviced apartment_contribution,property_type_Entire townhouse_contribution,property_type_Private room in condo_contribution,property_type_Private room in guest suite_contribution,property_type_Private room in home_contribution,property_type_Private room in loft_contribution,property_type_Private room in rental unit_contribution,property_type_Private room in townhouse_contribution,property_type_Room in boutique hotel_contribution,property_type_Room in hotel_contribution,property_type_Shared room in rental unit_contribution,review_scores_accuracy_contribution,review_scores_checkin_contribution,review_scores_cleanliness_contribution,review_scores_communication_contribution,review_scores_location_contribution,review_scores_rating_contribution,review_scores_value_contribution,reviews_per_month_contribution,room_type_Entire home/apt_contribution,room_type_Hotel room_contribution,room_type_Private room_contribution,room_type_Shared room_contribution,model,predicted
70,Bronx,8.37E+17,0,1,1,10,6,0.5,0.75,0.833333333,0.95890411,9,9,1,2.5,4.56,4.89,4.89,4.44,4.89,4.89,4.78,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.455666848,0.909186086,0.569631442,0.19633603,0.511554889,0.655052985,0.850241758,0.952830931,0.086932244,0.123372632,0.649131362,0.595996152,0.126394068,0.111824454,0.028579897,0.900957834,0.961089542,0.00183116,0.959913129,0.917680217,0.129620221,0.290415442,,0.247316763,0.988335442,,0.073298235,,0.98939038,0.970165364,0.128320888,0.761268428,0.065838245,0.592832736,0.16365479,0.987978999,0.468685469,,0.295070283,,Bronx_SVM,14
1,Bronx,7.94E+17,1,1,1,3,1,0.866666667,0.916666667,0.944444444,0.98630137,12,12,0,1.51,4.83,4.92,4.92,5,5,4.67,4.75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.865916403,0.840113423,0.754217484,0.752190997,0.233652142,0.015985742,0.036291187,0.918208011,0.956089266,0.783529127,0.145334275,0.889865223,0.622537477,0.127150074,0.125820311,0.021445701,0.863703402,0.930729569,0.036942039,0.95936546,0.848591418,0.047369975,0.280227994,,0.344080314,0.891016864,,0.102598934,,0.96998919,0.075260242,0.049996497,0.892061967,0.210526435,0.739455791,0.285090676,0.436663712,0.563434019,,0.369769074,,Bronx_SVM,127
158,Bronx,6.49E+17,0,1,1,6,3,1,1,1,1,46,33,3,3.11,4.87,4.91,4.98,4.76,4.87,4.72,4.78,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.519344064,0.940795048,0.729804349,0.878854878,0.060800306,0.012290967,0.34358858,0.922092563,0.969916675,0.02255047,0.898993993,0.647339343,0.036864866,0.189306628,0.14820195,0.045551179,0.969116691,0.967407311,0.052882772,0.949446507,0.850356871,0.094045318,0.318866046,,0.303369557,0.886969214,,0.146069368,,0.976325287,0.26630564,0.068531929,0.769599673,0.194276464,0.77309197,0.155090814,0.929557655,0.512944566,,0.558194016,,Bronx_SVM,139
161,Bronx,6.43E+17,0,1,1,6,3,0.033333333,0.516666667,0.677777778,0.920547945,56,42,4,3.73,4.73,4.79,4.89,4.79,4.68,4.61,4.63,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.251565265,0.042885521,0.845824251,0.492731316,0.396886427,0.024452862,0.330674971,0.920788934,0.968482648,0.16424443,0.840113057,0.281453448,0.052110495,0.172265855,0.112811799,0.024401017,0.900225592,0.969293384,0.07858905,0.956312623,0.903537393,0.119535134,0.155710169,,0.375141275,0.899579625,,0.116360886,,0.664118226,0.326988429,0.077111991,0.079482079,0.362538985,0.617339539,0.280356982,0.946242401,0.73073285,,0.279758686,,Bronx_SVM,188
114,Bronx,6.72E+17,1,1,1,2,1,0.4,0.55,0.7,0.17260274,1,0,0,0.08,5,5,5,5,5,5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.668451442,0.470287763,0.118133165,0.647092027,0.454058593,0.008795629,0.01193312,0.96332217,0.946583854,0.81933632,0.142917527,0.935908233,0.982615636,0.126186762,0.136891394,0.034008884,0.929558107,0.084310167,0.070734017,0.967567927,0.881578214,0.141077,0.145639957,,0.820613479,0.906146209,,0.051511814,,0.977938902,0.066953096,0,0.917901753,0.065011194,0.757796578,0.065143497,0.071955049,0.823091968,,0.518483512,,Bronx_SVM,164
60,Bronx,7.47E+17,1,1,1,7,4,0.633333333,0.666666667,0.777777778,0.945205479,18,18,1,1.91,4.83,4.78,4.83,4.78,4.94,4.39,4.67,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.462699587,0.484575878,0.88405266,0.536473271,0.440106986,0.505248738,0.474858216,0.868906179,0.951214677,0.803136189,0.266030599,0.737771434,0.611594906,0.073351719,0.09623638,0.029343129,0.886273588,0.945958534,0.027819652,0.95620172,0.85033487,0.106496943,0.225886594,,0.267376905,0.88042736,,0.123458261,,0.694487458,0.284336829,0.407360087,0.908066725,0.339346423,0.656889142,0.265934091,0.439384644,0.411968068,,0.701161773,,Bronx_SVM,27
50,Bronx,6.88E+17,1,1,1,7,4,0.8,0.75,0.833333333,0.95890411,29,28,2,2.37,4.93,4.83,4.93,4.97,4.97,4.38,4.83,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.461106091,0.817610852,0.624448616,0.470009875,0.156445583,0.520974914,0.46501647,0.928779322,0.937222847,0.846215728,0.257406518,0.381951651,0.034261233,0.125637737,0.194835639,0.041772516,0.923104665,0.99131234,0.040402994,0.949647617,0.89194567,0.082128461,0.30425458,,0.303911535,0.915308306,,0.133923641,,0.6701384,0.071905249,0.176227336,0.899109755,0.353631555,0.927233285,0.132954255,0.917119592,0.567746421,,0.490821326,,Bronx_SVM,51
8,Bronx,6.72E+17,1,1,1,14,8,0.633333333,0.666666667,0.777777778,0.353424658,3,3,0,0.49,5,5,5,5,5,4.67,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.299580301,0.464391565,0.257608101,0.555112564,0.351163485,1,0.87171679,0.91251024,0.942691427,0.949246358,0.074569377,0.886720512,0.842633592,0.236416386,0.134765926,0.026196357,0.832457887,0.942854084,0.041032703,0.948994462,0.838357796,0.074166851,0.222806736,,0.419605856,0.950589522,,0.128150837,,0.979437223,0.039460983,0.055637076,0.9234569,0.213799555,0.693656413,0.079794652,0.176772295,0.38797496,,0.344101519,,Bronx_SVM,2
114,Bronx,6.70E+17,1,1,1,2,1,0.7,0.7,0.8,0.197260274,5,0,0,0.38,5,5,5,5,5,5,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.671616884,0.856072229,0.265454109,0.540427069,0.475289974,0.511035805,0.013383687,0.917563484,0.982538909,0.889699358,0.015843559,0.945212764,0.995282482,0.130656785,0.137297902,0.024161073,0.897115244,0.019148199,0.054295983,0.945148361,0.851261129,0.134292071,0.170319317,,1,0.91126036,,0.107231113,,0.964569118,0.062156546,0.102969952,0.955822859,0.03944456,0.87589678,0.027668887,0.095430109,0.578887277,,0.321982755,,Bronx_SVM,81
130,Bronx,7.15E+17,1,1,1,5,3,0.366666667,0.233333333,0.488888889,0.873972603,25,25,3,2.16,4.88,4.84,4.92,4.96,4.88,4.68,4.84,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423462488,0.434317462,0.5570723,0.232040095,0.91907966,0.008387047,0.319350415,0.928445621,0.940721315,0.795250455,0.252811899,0.555649414,0.0434125,0.992082617,0.125426289,0.041547955,0.906907934,0.057491543,0.036885237,0.967942058,0.859967368,0.173740148,0.195032151,,0.17380946,0.89272103,,0.100515898,,0.982385109,0.048467272,0.016404261,0.669875368,0.207733483,0.87585163,0.148039056,0.444597982,0.329989023,,0.254877938,,Bronx_SVM,160
