1-qid,two_realRank,State,Bronx_SVM,Brooklyn_SVM,Manhattan_SVM,Queens_SVM,Staten_Island_SVM,NYC_SVM,ndcg_term_Bronx_SVM,ndcg_term_Brooklyn_SVM,ndcg_term_Manhattan_SVM,ndcg_term_Queens_SVM,ndcg_term_Staten_Island_SVM,ndcg_term_NYC_SVM
Bronx,1,7.94E+17,127,115,93,155,148,94,0.007874016,0.008695652,0.010752688,0.006451613,0.006756757,0.010638298
Bronx,2,49920227,98,124,31,12,157,106,0.006438059,0.005088143,0.020352573,0.052577479,0.004018661,0.005952167
Bronx,3,9.02E+17,181,163,136,177,181,148,0.002762431,0.003067485,0.003676471,0.002824859,0.002762431,0.003378378
Bronx,4,13130744,77,1,4,44,182,50,0.005593202,0.430676558,0.10766914,0.009788104,0.002366355,0.008613531
Bronx,5,6.07E+17,13,39,101,89,34,90,0.029757908,0.009919303,0.003830226,0.004346661,0.011378024,0.004298365
Bronx,6,49861789,35,42,71,49,40,51,0.010177348,0.008481124,0.005017003,0.007269534,0.00890518,0.006984455
Bronx,7,7.78E+17,11,139,126,79,5,9,0.03030303,0.002398082,0.002645503,0.004219409,0.066666667,0.037037037
Bronx,8,6.72E+17,2,18,10,4,1,1,0.157732438,0.017525826,0.031546488,0.078866219,0.315464877,0.315464877
Bronx,9,6.11E+17,33,121,139,29,21,57,0.009122121,0.002487851,0.002165683,0.010380345,0.014334762,0.005281228
Bronx,10,53343701,109,158,113,56,146,63,0.002651971,0.001829524,0.002558096,0.005161872,0.001979896,0.004588331
Bronx,10,12346131,9,27,44,11,19,58,0.032118314,0.010706105,0.006569655,0.026278621,0.015213938,0.004983876
Bronx,12,36080023,18,41,63,32,29,38,0.015013231,0.006591174,0.004289495,0.008444942,0.009318557,0.00711153
Bronx,13,49839739,8,52,140,33,3,10,0.032831192,0.005050953,0.001876068,0.007959077,0.087549845,0.026264954
Bronx,14,13507677,73,23,18,3,9,5,0.003506274,0.01112861,0.01421989,0.085319342,0.028439781,0.051191605
Bronx,14,6.81E+17,21,30,57,73,30,33,0.012188477,0.008531934,0.004490492,0.003506274,0.008531934,0.007756304
Bronx,16,8.09E+17,6,51,62,18,4,4,0.04077509,0.004797069,0.003945976,0.013591697,0.061162636,0.061162636
Bronx,16,18550867,15,47,68,30,33,49,0.016310036,0.005205331,0.003597802,0.008155018,0.007413653,0.004992868
Bronx,16,48652544,114,60,77,82,155,66,0.002146057,0.004077509,0.00317728,0.002983543,0.001578391,0.003706826
Bronx,19,8.97E+17,40,140,104,123,39,23,0.005784455,0.001652702,0.002224791,0.001881124,0.005932775,0.010059922
Bronx,20,37943438,12,33,69,13,38,37,0.018972521,0.006899098,0.003299569,0.017513096,0.005991322,0.00615325
Bronx,21,37361653,3,20,9,16,7,2,0.074747941,0.011212191,0.02491598,0.014015239,0.032034832,0.112121912
Bronx,22,7.03E+17,83,117,125,111,36,30,0.00266343,0.001889442,0.001768518,0.001991574,0.006140687,0.007368824
Bronx,22,8.58E+17,16,105,87,113,13,19,0.013816546,0.002105378,0.002540974,0.001956325,0.017004979,0.011634986
Bronx,24,7.60E+17,43,21,81,67,54,26,0.005007867,0.010254204,0.002658497,0.003214004,0.003987746,0.008282242
Bronx,24,53881005,87,192,99,187,174,123,0.002475153,0.001121554,0.002175134,0.001151542,0.001237576,0.001750718
Bronx,26,6.95E+17,151,34,132,112,109,88,0.001392781,0.006185586,0.001593257,0.001877767,0.001929449,0.002389885
Bronx,27,5.56E+17,1,49,90,8,2,6,0.208014598,0.004245196,0.002311273,0.026001825,0.104007299,0.0346691
Bronx,28,45399393,103,75,28,78,134,113,0.001998513,0.002744624,0.007351673,0.002639062,0.00153617,0.001821653
Bronx,29,6256470,26,53,70,69,101,99,0.007838271,0.00384519,0.002911358,0.002953551,0.002017773,0.002058536
Bronx,29,7.33E+17,187,37,110,133,153,161,0.001089813,0.005507974,0.001852682,0.001532294,0.001331994,0.001265808
Bronx,31,7.83E+17,158,128,157,114,180,164,0.001265823,0.0015625,0.001273885,0.001754386,0.001111111,0.001219512
Bronx,32,8.98E+17,10,16,43,34,28,34,0.019823986,0.012389991,0.004610229,0.005830584,0.007079995,0.005830584
Bronx,33,9.44E+17,59,83,79,26,79,93,0.003331553,0.002368212,0.002488122,0.007560063,0.002488122,0.002113566
